1489,JP,NEXT FUNDS Nikkei 225 High Dividend Yield Stock 50 Index Exchange Traded Fund
148A,JP,"HATCH WORK CO.,LTD."
1490,JP,Listed Index Fund MSCI Japan Equity High Dividend Low Volatility (Beta Hedged)
1491,JP,"Chugai Mining Co.,Ltd."
1493,JP,One ETF JPX-Nikkei Mid Small
1494,JP,One ETF High Dividend Japan Equity
1495,JP,Listed Index Fund Asian REIT
1496,JP,iShares USD Investment Grade Corporate Bond JPY Hedged ETF
1497,JP,iShares USD High Yield Corporate Bond JPY Hedged ETF
1498,JP,One ETF ESG
1499,JP,MAXIS Japan Equity High Dividend 70 Market Neutral ETF
149A,JP,"Thinca Co.,Ltd."
150A,JP,"JSH Co.,Ltd."
1514,JP,"Sumiseki Holdings,Inc."
1515,JP,"Nittetsu Mining Co.,Ltd."
1518,JP,"MITSUI MATSUSHIMA HOLDINGS CO.,LTD."
151A,JP,Dive Inc.
152A,JP,"OPTY CO.,LTD."
153A,JP,Caulis Inc.
1540,JP,Japan Physical Gold ETF
1541,JP,Japan Physical Platinum ETF
1542,JP,Japan Physical Silver ETF
1543,JP,Japan Physical Palladium ETF
1545,JP,NEXT FUNDS NASDAQ-100(R) (Unhedged) Exchange Traded Fund
1546,JP,NEXT FUNDS DJIA (Unhedged) Exchange Traded Fund
1547,JP,Listed Index Fund US Equity (S&P500)
154A,JP,GAIA Inc.
1550,JP,MAXIS Global Equity (MSCI Kokusai) ETF
1551,JP,TSE Standard Top 20 ETF
1554,JP,Listed Index Fund World Equity (MSCI ACWI) ex Japan
1555,JP,Listed Index Fund Australian REIT (S&P/ASX200 A-REIT)
1557,JP,SPDR S&P500 ETF Trust
1559,JP,NEXT FUNDS Thai Stock SET50 Exchange Traded Fund
155A,JP,"Information Strategy and Technology Co.,Ltd."
1560,JP,NEXT FUNDS FTSE Bursa Malaysia KLCI Exchange Traded Fund
1563,JP,TSE Growth Core ETF
1566,JP,Listed Index Fund Emerging Bond
1568,JP,TOPIX Bull 2x ETF
1569,JP,TOPIX Bear -1x ETF
156A,JP,Material Group Inc.
1570,JP,NEXT FUNDS Nikkei 225 Leveraged Index Exchange Traded Fund
1571,JP,NEXT FUNDS Nikkei 225 Inverse Index Exchange Traded Fund
1572,JP,China Bull 2x HSCEI ETF
1573,JP,China Bear -1x HSCEI ETF
1577,JP,NEXT FUNDS Nomura Japan Equity High Dividend 70 Exchange Traded Fund
1578,JP,Listed Index Fund Nikkei 225 (Mini)
1579,JP,Nikkei 225 Bull 2x ETF
157A,JP,Green Monster Inc.
1580,JP,Nikkei 225 Bear -1x ETF
1585,JP,iFreeETF TOPIX Ex-Financials
1586,JP,Listed Index Fund TOPIX Ex-Financials
158A,JP,"Exseli Co,Ltd."
1591,JP,NEXT FUNDS JPX-Nikkei Index 400 Exchange Traded Fund
1592,JP,Listed Index Fund JPX-Nikkei Index 400
1593,JP,MAXIS JPX-Nikkei Index 400 ETF
1595,JP,NZAM ETF J-REIT Index
1596,JP,NZAM ETF TOPIX Ex-Financials
1597,JP,MAXIS J-REIT ETF
1599,JP,iFreeETF JPX-Nikkei400
159A,JP,NEXT FUNDS JPX Prime 150 Index Exchange Traded Fund
1605,JP,INPEX CORPORATION
160A,JP,"As Partners CO.,LTD."
1615,JP,NEXT FUNDS TOPIX Banks Exchange Traded Fund
1617,JP,NEXT FUNDS TOPIX-17 FOODS ETF
1618,JP,NEXT FUNDS TOPIX-17 ENERGY RESOURCES ETF
1619,JP,NEXT FUNDS TOPIX-17 CONSTRUCTION & MATERIALS ETF
161A,JP,"Mitsuba Co.,Ltd."
1620,JP,NEXT FUNDS TOPIX-17 RAW MATERIALS & CHEMICALS ETF
1621,JP,NEXT FUNDS TOPIX-17 PHARMACEUTICAL ETF
1622,JP,NEXT FUNDS TOPIX-17 AUTOMOBILES TRANSPORTATION EQUIPMENT ETF
1623,JP,NEXT FUNDS TOPIX-17 STEEL & NONFERROUS ETF
1624,JP,NEXT FUNDS TOPIX-17 MACHINERY ETF
1625,JP,NEXT FUNDS TOPIX-17 ELECTRIC & PRECISION INSTRUMENTS ETF
1626,JP,"NEXT FUNDS TOPIX-17 IT & SERVICES,OTHERS ETF"
1627,JP,NEXT FUNDS TOPIX-17 ELECTRIC POWER & GAS ETF
1628,JP,NEXT FUNDS TOPIX-17 TRANSPORTATION & LOGISTICS ETF
1629,JP,NEXT FUNDS TOPIX-17 COMMERCIAL & WHOLESALE TRADE ETF
1630,JP,NEXT FUNDS TOPIX-17 RETAIL TRADE ETF
1631,JP,NEXT FUNDS TOPIX-17 BANKS ETF
1632,JP,NEXT FUNDS TOPIX-17 FINANCIALS (EX BANKS) ETF
1633,JP,NEXT FUNDS TOPIX-17 REAL ESTATE ETF
164A,JP,"Applepark.CO.,LTD."
1651,JP,iFreeETF TOPIX High Dividend Yield 40 Index
1652,JP,iFreeETF MSCI Japan Empowering Women Index (WIN)
1653,JP,iFreeETF MSCI Japan ESG Select Leaders Index
1654,JP,iFreeETF FTSE Blossom Japan Index
1655,JP,iShares S&P 500 ETF
1656,JP,iShares Core 7-10 Year US Treasury Bond ETF
1657,JP,iShares Core MSCI Kokusai ETF
1658,JP,iShares Core MSCI Emerging Markets IMI ETF
1659,JP,iShares US REIT ETF
165A,JP,SBI RHEOS HIFUMI Inc.
1660,JP,MAXIS High Yield J-REIT ETF
1662,JP,"Japan Petroleum Exploration Co.,Ltd."
1663,JP,K&O Energy Group Inc.
166A,JP,TASUKI Holdings Inc.
1671,JP,Simplex WTI ETF
1672,JP,WisdomTree Physical Gold Individual Securities
1673,JP,WisdomTree Physical Silver Individual Securities
1674,JP,WisdomTree Physical Platinum Individual Securities
1675,JP,WisdomTree Physical Palladium Individual Securities
1676,JP,WisdomTree Physical Precious Metals Basket Securities
1677,JP,Listed Index Fund International Bond (FTSE WGBI) Monthly Dividend Payment Type
1678,JP,NEXT FUNDS Nifty 50 Linked Exchange Traded Fund
1679,JP,Simple-X NY Dow Jones Index ETF
167A,JP,"Ryoyo Ryosan Holdings,Inc."
1680,JP,Listed Index Fund International Developed Countries Equity (MSCI-KOKUSAI)
1681,JP,Listed Index Fund International Emerging Countries Equity (MSCI EMERGING)
1684,JP,WisdomTree Broad Commodities
1685,JP,WisdomTree Energy
1686,JP,WisdomTree Industrial Metals
1687,JP,WisdomTree Agriculture
1688,JP,WisdomTree Grains
1689,JP,WisdomTree Natural Gas
168A,JP,itamiarts inc.
1690,JP,WisdomTree WTI Crude Oil
1691,JP,WisdomTree Gasoline
1692,JP,WisdomTree Aluminium
1693,JP,WisdomTree Copper
1694,JP,WisdomTree Nickel
1695,JP,WisdomTree Wheat
1696,JP,WisdomTree Corn
1697,JP,WisdomTree Soybeans
1698,JP,Listed Index Fund Japan High Dividend (TSE Dividend Focus 100)
1699,JP,NEXT FUNDS NOMURA Crude Oil Long Index Linked Exchange Traded Fund
170A,JP,SMT ETF Japan Equity Income Strategy Active
1711,JP,"SDS HOLDINGS Co.,Ltd."
1712,JP,"Daiseki Eco.Solution Co.,Ltd."
1716,JP,DAI-ICHI CUTTER KOGYO K.K.
1717,JP,Meiho Facility Works Ltd.
1718,JP,"MIKIKOGYO CO.,LTD."
1719,JP,HAZAMA ANDO CORPORATION
171A,JP,"ZEROJAPAN.Co.,Ltd"
1720,JP,"TOKYU CONSTRUCTION CO., LTD."
1721,JP,COMSYS Holdings Corporation
1723,JP,"NIHON DENGI CO.,LTD."
1724,JP,SYNCLAYER INC.
1726,JP,Br.Holdings Corporation
172A,JP,"NEO HOME Co.,Ltd."
1736,JP,OTEC CORPORATION
173A,JP,Hammock Inc.
1743,JP,"KOATSU KOGYO CO.,LTD."
174A,JP,"AGENTEC Co.,Ltd."
1757,JP,"Souken Ace Co.,Ltd."
1758,JP,"Taiyo Kisokogyo Co.,Ltd."
175A,JP,"Will Smart Co.,LTD."
1762,JP,"TAKAMATSU CONSTRUCTION GROUP CO.,LTD."
1764,JP,KUDO CORPORATION
1766,JP,TOKEN CORPORATION
1768,JP,SONEC CORPORATION
176A,JP,Rezil Inc.
1770,JP,"FUJITA ENGINEERING CO.,LTD."
1773,JP,YTL Corporation Berhad
1776,JP,"SUMIKEN MITSUI ROAD CO., LTD."
177A,JP,"Kohjin Bio Co.,Ltd."
1780,JP,YAMAURA CORPORATION
1783,JP,"Fantasista Co.,Ltd."
1786,JP,Oriental Shiraishi Corporation
1787,JP,"Nakabohtec Corrosion Protecting Co.,Ltd."
1788,JP,SANTO CORPORATION
178A,JP,Global X Innovative Bluechip Top 10+ ETF
1793,JP,"OHMOTO GUMI CO.,LTD."
1795,JP,MASARU CORPORATION
1798,JP,MORIYA CORPORATION
1799,JP,DAIICHI KENSETSU CORPORATION
179A,JP,Global X 25+ Year T-Bond ETF (JPY Hedged)
1801,JP,TAISEI CORPORATION
1802,JP,OBAYASHI CORPORATION
1803,JP,SHIMIZU CORPORATION
1807,JP,"WATANABE SATO CO.,LTD."
1808,JP,HASEKO Corporation
180A,JP,Global X 25+ Year T-Bond ETF
1810,JP,"MATSUI CONSTRUCTION CO.,LTD."
1811,JP,THE ZENITAKA CORPORATION
1812,JP,KAJIMA CORPORATION
1813,JP,Fudo Tetra Corporation
1814,JP,"DAISUE CONSTRUCTION CO.,LTD."
1815,JP,TEKKEN CORPORATION
181A,JP,MAXIS US Treasury Bond 1-3 Year ETF (Unhedged)
1820,JP,"Nishimatsu Construction Co.,Ltd."
1821,JP,"Sumitomo Mitsui Construction Co., Ltd."
1822,JP,DAIHO CORPORATION
1826,JP,"Sata Construction Co.,Ltd."
1827,JP,NAKANO CORPORATION
1828,JP,TANABE ENGINEERING CORPORATION
182A,JP,MAXIS US Treasury Bond 20+ Year ETF (Unhedged)
1833,JP,OKUMURA CORPORATION
1835,JP,"TOTETSU KOGYO CO.,LTD."
183A,JP,MAXIS US Treasury Bond 20+ Year ETF (JPY Hedged)
1840,JP,"TSUCHIYA HOLDINGS CO.,LTD."
