코드/티커,국가,이름
036540,KR.CSV,SFA반도체
255220,KR.CSV,SG
040610,KR.CSV,SG&G
049470,KR.CSV,SGA
184230,KR.CSV,SGA솔루션즈
016250,KR.CSV,SGC E&C
005090,KR.CSV,SGC에너지
001380,KR.CSV,SG글로벌
004060,KR.CSV,SG세계물산
001770,KR.CSV,SHD
002360,KR.CSV,SH에너지화학
009160,KR.CSV,SIMPAC
033530,KR.CSV,SJG세종
123700,KR.CSV,SJM
025530,KR.CSV,SJM홀딩스
034730,KR.CSV,SK
011790,KR.CSV,SKC
018670,KR.CSV,SK가스
001740,KR.CSV,SK네트웍스
006120,KR.CSV,SK디스커버리
006125,KR.CSV,SK디스커버리우
210980,KR.CSV,SK디앤디
395400,KR.CSV,SK리츠
302440,KR.CSV,SK바이오사이언스
326030,KR.CSV,SK바이오팜
402340,KR.CSV,SK스퀘어
260870,KR.CSV,SK시그넷
361610,KR.CSV,SK아이이테크놀로지
100090,KR.CSV,SK오션플랜트
03473K,KR.CSV,SK우
096770,KR.CSV,SK이노베이션
096775,KR.CSV,SK이노베이션우
475150,KR.CSV,SK이터닉스
001510,KR.CSV,SK증권
001515,KR.CSV,SK증권우
285130,KR.CSV,SK케미칼
28513K,KR.CSV,SK케미칼우
017670,KR.CSV,SK텔레콤
000660,KR.CSV,SK하이닉스
048550,KR.CSV,SM C&C
063440,KR.CSV,SM Life Design
003570,KR.CSV,SNT다이내믹스
064960,KR.CSV,SNT모티브
100840,KR.CSV,SNT에너지
036530,KR.CSV,SNT홀딩스
067160,KR.CSV,SOOP
005610,KR.CSV,SPC삼립
011810,KR.CSV,STX
465770,KR.CSV,STX그린로지스
077970,KR.CSV,STX엔진
002820,KR.CSV,SUN&L
289080,KR.CSV,SV인베스트먼트
084870,KR.CSV,TBH글로벌
002710,KR.CSV,TCC스틸
089230,KR.CSV,THE E&M
032540,KR.CSV,TJ미디어
022220,KR.CSV,TKG애강
069260,KR.CSV,TKG휴켐스
007980,KR.CSV,TP
048770,KR.CSV,TPC
246690,KR.CSV,TS인베스트먼트
317240,KR.CSV,TS트릴리온
002900,KR.CSV,TYM
024070,KR.CSV,WISCOM
057030,KR.CSV,YBM넷
037270,KR.CSV,YG PLUS
040300,KR.CSV,YTN
051390,KR.CSV,YW
052220,KR.CSV,iMBC
079940,KR.CSV,가비아
078890,KR.CSV,가온그룹
000500,KR.CSV,가온전선
399720,KR.CSV,가온칩스
296520,KR.CSV,가이아코퍼레이션
036620,KR.CSV,감성코퍼레이션
000860,KR.CSV,강남제비스코
198440,KR.CSV,강동씨앤엘
217730,KR.CSV,강스템바이오텍
035250,KR.CSV,강원랜드
114190,KR.CSV,강원에너지
094480,KR.CSV,갤럭시아머니트리
011420,KR.CSV,갤럭시아에스엠
039240,KR.CSV,경남스틸
053950,KR.CSV,경남제약
002100,KR.CSV,경농
009450,KR.CSV,경동나비엔
267290,KR.CSV,경동도시가스
012320,KR.CSV,경동인베스트
011040,KR.CSV,경동제약
000050,KR.CSV,경방
214390,KR.CSV,경보제약
012610,KR.CSV,경인양행
009140,KR.CSV,경인전자
024910,KR.CSV,경창산업
013580,KR.CSV,계룡건설
012200,KR.CSV,계양전기
012205,KR.CSV,계양전기우
002140,KR.CSV,고려산업
049720,KR.CSV,고려신용정보
010130,KR.CSV,고려아연
002240,KR.CSV,고려제강
014570,KR.CSV,고려제약
348150,KR.CSV,고바이오랩
950190,KR.CSV,고스트스튜디오
098460,KR.CSV,고영
035290,KR.CSV,골드앤에스
215000,KR.CSV,골프존
121440,KR.CSV,골프존뉴딘홀딩스
366030,KR.CSV,공구우먼
076340,KR.CSV,관악산업
009290,KR.CSV,광동제약
086220,KR.CSV,광동헬스바이오
014200,KR.CSV,광림
017040,KR.CSV,광명전기
029480,KR.CSV,광무
017900,KR.CSV,광전자
037710,KR.CSV,광주신세계
026910,KR.CSV,광진실업
440790,KR.CSV,교보13호스팩
456490,KR.CSV,교보14호스팩
465320,KR.CSV,교보15호스팩
482520,KR.CSV,교보16호스팩
489210,KR.CSV,교보17호스팩
030610,KR.CSV,교보증권
339770,KR.CSV,교촌에프앤비
053270,KR.CSV,구영테크
007690,KR.CSV,국도화학
001140,KR.CSV,국보
066620,KR.CSV,국보디자인
043650,KR.CSV,국순당
006050,KR.CSV,국영지앤엠
060480,KR.CSV,국일신동
078130,KR.CSV,국일제지
307750,KR.CSV,국전약품
002720,KR.CSV,국제약품
035080,KR.CSV,그래디언트
453450,KR.CSV,그리드위즈
204020,KR.CSV,그리티
402490,KR.CSV,그린리소스
114450,KR.CSV,그린생명과학
083420,KR.CSV,그린케미칼
186230,KR.CSV,그린플러스
014530,KR.CSV,극동유화
900070,KR.CSV,글로벌에스엠
204620,KR.CSV,글로벌텍스프리
019660,KR.CSV,글로본
014280,KR.CSV,금강공업
014285,KR.CSV,금강공업우
053260,KR.CSV,금강철강
008870,KR.CSV,금비
001570,KR.CSV,금양
282720,KR.CSV,금양그린파워
002990,KR.CSV,금호건설
002995,KR.CSV,금호건설우
011780,KR.CSV,금호석유
011785,KR.CSV,금호석유우
214330,KR.CSV,금호에이치티
001210,KR.CSV,금호전기
073240,KR.CSV,금호타이어
036190,KR.CSV,금화피에스시
049080,KR.CSV,기가레인
420770,KR.CSV,기가비스
035460,KR.CSV,기산텔레콤
092440,KR.CSV,기신정기
000270,KR.CSV,기아
024110,KR.CSV,기업은행
456700,KR.CSV,길교이앤씨
013700,KR.CSV,까뮤이앤씨
308100,KR.CSV,까스텔바작
004540,KR.CSV,깨끗한나라
004545,KR.CSV,깨끗한나라우
407400,KR.CSV,꿈비
187790,KR.CSV,나노
286750,KR.CSV,나노브릭
121600,KR.CSV,나노신소재
247660,KR.CSV,나노씨엠에스
039860,KR.CSV,나노엔텍
091970,KR.CSV,나노캠텍
417010,KR.CSV,나노팀
244880,KR.CSV,나눔테크
405920,KR.CSV,나라셀라
288490,KR.CSV,나라소프트
051490,KR.CSV,나라엠앤디
137080,KR.CSV,나래나노텍
190510,KR.CSV,나무가
242040,KR.CSV,나무기술
089600,KR.CSV,나스미디어
293580,KR.CSV,나우IB
257990,KR.CSV,나우코스
138610,KR.CSV,나이벡
130580,KR.CSV,나이스디앤비
036800,KR.CSV,나이스정보통신
267320,KR.CSV,나인테크
001260,KR.CSV,남광토건
008350,KR.CSV,남선알미늄
008355,KR.CSV,남선알미우
004270,KR.CSV,남성
003920,KR.CSV,남양유업
003925,KR.CSV,남양유업우
025860,KR.CSV,남해화학
111710,KR.CSV,남화산업
091590,KR.CSV,남화토건
168330,KR.CSV,내츄럴엔도텍
094860,KR.CSV,네오리진
253590,KR.CSV,네오셈
212560,KR.CSV,네오오토
095660,KR.CSV,네오위즈
042420,KR.CSV,네오위즈홀딩스
950220,KR.CSV,네오이뮨텍
311390,KR.CSV,네오크레마
085910,KR.CSV,네오티스
092730,KR.CSV,네오팜
290660,KR.CSV,네오펙트
306620,KR.CSV,네온테크
153460,KR.CSV,네이블
007390,KR.CSV,네이처셀
033640,KR.CSV,네패스
330860,KR.CSV,네패스아크
005720,KR.CSV,넥센
005725,KR.CSV,넥센우
002350,KR.CSV,넥센타이어
002355,KR.CSV,넥센타이어1우B
089140,KR.CSV,넥스턴바이오
389650,KR.CSV,넥스트바이오메디컬
137940,KR.CSV,넥스트아이
396270,KR.CSV,넥스트칩
348210,KR.CSV,넥스틴
092790,KR.CSV,넥스틸
225570,KR.CSV,넥슨게임즈
217270,KR.CSV,넵튠
251270,KR.CSV,넷마블
317860,KR.CSV,노드메이슨
104620,KR.CSV,노랑풍선
090350,KR.CSV,노루페인트
090355,KR.CSV,노루페인트우
000320,KR.CSV,노루홀딩스
000325,KR.CSV,노루홀딩스우
473980,KR.CSV,노머스
194700,KR.CSV,노바렉스
285490,KR.CSV,노바텍
283100,KR.CSV,노보믹스
145170,KR.CSV,노브랜드
229500,KR.CSV,노브메타파마
106520,KR.CSV,노블엠앤비
376930,KR.CSV,노을
006280,KR.CSV,녹십자
142280,KR.CSV,녹십자엠에스
234690,KR.CSV,녹십자웰빙
005250,KR.CSV,녹십자홀딩스
005257,KR.CSV,녹십자홀딩스2우
004370,KR.CSV,농심
072710,KR.CSV,농심홀딩스
054050,KR.CSV,농우바이오
069140,KR.CSV,누리플랜
040160,KR.CSV,누리플렉스
332290,KR.CSV,누보
348340,KR.CSV,뉴로메카
060260,KR.CSV,뉴보텍
123840,KR.CSV,뉴온
012340,KR.CSV,뉴인텍
270870,KR.CSV,뉴트리
144960,KR.CSV,뉴파워프라즈마
085670,KR.CSV,뉴프렉스
064260,KR.CSV,다날
340360,KR.CSV,다보링크
039560,KR.CSV,다산네트웍스
154040,KR.CSV,다산솔루에타
058730,KR.CSV,다스코
030210,KR.CSV,다올투자증권
023590,KR.CSV,다우기술
032190,KR.CSV,다우데이타
323350,KR.CSV,다원넥스뷰
068240,KR.CSV,다원시스
145210,KR.CSV,다이나믹디자인
464580,KR.CSV,닷밀
019680,KR.CSV,대교
019685,KR.CSV,대교우B
006370,KR.CSV,대구백화점
008060,KR.CSV,대덕
00806K,KR.CSV,대덕1우
353200,KR.CSV,대덕전자
35320K,KR.CSV,대덕전자1우
000490,KR.CSV,대동
178600,KR.CSV,대동고려삼
020400,KR.CSV,대동금속
008830,KR.CSV,대동기어
048470,KR.CSV,대동스틸
008110,KR.CSV,대동전자
004780,KR.CSV,대륙제관
005750,KR.CSV,대림B&Co
017650,KR.CSV,대림제지
006570,KR.CSV,대림통상
007720,KR.CSV,대명소노시즌
389260,KR.CSV,대명에너지
317850,KR.CSV,대모
290670,KR.CSV,대보마그네틱
078140,KR.CSV,대봉엘에스
065150,KR.CSV,대산F&B
001680,KR.CSV,대상
001685,KR.CSV,대상우
084690,KR.CSV,대상홀딩스
084695,KR.CSV,대상홀딩스우
036480,KR.CSV,대성미생물
128820,KR.CSV,대성산업
117580,KR.CSV,대성에너지
027830,KR.CSV,대성창투
104040,KR.CSV,대성파인텍
